time,sex,classif1,classif2,obs_value,age_extracted
1991,Sex: Male,"Age (Youth, adults): 15+",nan,6178.669,"(15, None)"
1991,Sex: Male,"Age (Youth, adults): 15-24",nan,1970.372,"(15, 24)"
1991,Sex: Male,"Age (Youth, adults): 25+",nan,4208.297,"(25, None)"
1991,Sex: Female,"Age (Youth, adults): 15+",nan,6152.765,"(15, None)"
1991,Sex: Female,"Age (Youth, adults): 15-24",nan,1911.73,"(15, 24)"
1991,Sex: Female,"Age (Youth, adults): 25+",nan,4241.035,"(25, None)"
1991,Sex: Male,Age (Aggregate bands): 15-24,nan,1970.372,"(15, 24)"
1991,Sex: Female,Age (Aggregate bands): 15-24,nan,1911.73,"(15, 24)"
1990,Sex: Male,"Age (Youth, adults): 15+",nan,6149.117,"(15, None)"
1990,Sex: Male,"Age (Youth, adults): 15-24",nan,1974.449,"(15, 24)"
1990,Sex: Male,"Age (Youth, adults): 25+",nan,4174.668,"(25, None)"
1990,Sex: Female,"Age (Youth, adults): 15+",nan,6120.606,"(15, None)"
1990,Sex: Female,"Age (Youth, adults): 15-24",nan,1914.307,"(15, 24)"
1990,Sex: Female,"Age (Youth, adults): 25+",nan,4206.299,"(25, None)"
1990,Sex: Male,Age (Aggregate bands): 15-24,nan,1974.449,"(15, 24)"
1990,Sex: Female,Age (Aggregate bands): 15-24,nan,1914.307,"(15, 24)"
1989,Sex: Male,"Age (Youth, adults): 15+",nan,5931.316,"(15, None)"
1989,Sex: Male,"Age (Youth, adults): 15-24",nan,1931.159,"(15, 24)"
1989,Sex: Male,"Age (Youth, adults): 25+",nan,4000.157,"(25, None)"
1989,Sex: Female,"Age (Youth, adults): 15+",nan,5897.495,"(15, None)"
1989,Sex: Female,"Age (Youth, adults): 15-24",nan,1872.189,"(15, 24)"
1989,Sex: Female,"Age (Youth, adults): 25+",nan,4025.306,"(25, None)"
1988,Sex: Male,"Age (Youth, adults): 15+",nan,5760.722,"(15, None)"
1988,Sex: Male,"Age (Youth, adults): 15-24",nan,1900.156,"(15, 24)"
1988,Sex: Male,"Age (Youth, adults): 25+",nan,3860.566,"(25, None)"
1988,Sex: Female,"Age (Youth, adults): 15+",nan,5722.826,"(15, None)"
1988,Sex: Female,"Age (Youth, adults): 15-24",nan,1841.988,"(15, 24)"
1988,Sex: Female,"Age (Youth, adults): 25+",nan,3880.838,"(25, None)"
1987,Sex: Male,"Age (Youth, adults): 15+",nan,5633.734,"(15, None)"
1987,Sex: Male,"Age (Youth, adults): 15-24",nan,1877.19,"(15, 24)"
1987,Sex: Male,"Age (Youth, adults): 25+",nan,3756.544,"(25, None)"
1987,Sex: Female,"Age (Youth, adults): 15+",nan,5592.925,"(15, None)"
1987,Sex: Female,"Age (Youth, adults): 15-24",nan,1819.583,"(15, 24)"
1987,Sex: Female,"Age (Youth, adults): 25+",nan,3773.342,"(25, None)"
1986,Sex: Male,"Age (Youth, adults): 15+",nan,5465.416,"(15, None)"
1986,Sex: Male,"Age (Youth, adults): 15-24",nan,1845.353,"(15, 24)"
1986,Sex: Male,"Age (Youth, adults): 25+",nan,3620.063,"(25, None)"
1986,Sex: Female,"Age (Youth, adults): 15+",nan,5420.892,"(15, None)"
1986,Sex: Female,"Age (Youth, adults): 15-24",nan,1788.476,"(15, 24)"
1986,Sex: Female,"Age (Youth, adults): 25+",nan,3632.416,"(25, None)"
1985,Sex: Male,"Age (Youth, adults): 15+",nan,5226.425,"(15, None)"
1985,Sex: Male,"Age (Youth, adults): 15-24",nan,1794.688,"(15, 24)"
1985,Sex: Male,"Age (Youth, adults): 25+",nan,3431.737,"(25, None)"
1985,Sex: Female,"Age (Youth, adults): 15+",nan,5176.957,"(15, None)"
1985,Sex: Female,"Age (Youth, adults): 15-24",nan,1738.831,"(15, 24)"
1985,Sex: Female,"Age (Youth, adults): 25+",nan,3438.126,"(25, None)"
1985,Sex: Male,Age (Aggregate bands): 15-24,nan,1794.688,"(15, 24)"
1985,Sex: Female,Age (Aggregate bands): 15-24,nan,1738.831,"(15, 24)"
1984,Sex: Male,"Age (Youth, adults): 15+",nan,5142.511,"(15, None)"
1984,Sex: Male,"Age (Youth, adults): 15-24",nan,1776.158,"(15, 24)"
1984,Sex: Male,"Age (Youth, adults): 25+",nan,3366.353,"(25, None)"
1984,Sex: Female,"Age (Youth, adults): 15+",nan,5091.266,"(15, None)"
1984,Sex: Female,"Age (Youth, adults): 15-24",nan,1720.602,"(15, 24)"
1984,Sex: Female,"Age (Youth, adults): 25+",nan,3370.664,"(25, None)"
1984,Sex: Male,Age (Aggregate bands): 15-24,nan,1776.158,"(15, 24)"
1984,Sex: Female,Age (Aggregate bands): 15-24,nan,1720.602,"(15, 24)"
1983,Sex: Male,"Age (Youth, adults): 15+",nan,4402.822,"(15, None)"
1983,Sex: Male,"Age (Youth, adults): 15-24",nan,1577.365,"(15, 24)"
1983,Sex: Male,"Age (Youth, adults): 25+",nan,2825.457,"(25, None)"
1983,Sex: Female,"Age (Youth, adults): 15+",nan,4470.949,"(15, None)"
1983,Sex: Female,"Age (Youth, adults): 15-24",nan,1550.396,"(15, 24)"
1983,Sex: Female,"Age (Youth, adults): 25+",nan,2920.553,"(25, None)"
1983,Sex: Male,Age (Aggregate bands): 15-24,nan,1577.365,"(15, 24)"
1983,Sex: Female,Age (Aggregate bands): 15-24,nan,1550.396,"(15, 24)"
1983,Sex: Male,Age (10-year bands): 15-24,nan,1577.365,"(15, 24)"
1983,Sex: Female,Age (10-year bands): 15-24,nan,1550.396,"(15, 24)"
1983,Sex: Male,Age (5-year bands): 15-19,nan,865.449,"(15, 19)"
1983,Sex: Male,Age (5-year bands): 20-24,nan,711.916,"(20, 24)"
1983,Sex: Male,Age (5-year bands): 25-29,nan,1043.968,"(25, 29)"
1983,Sex: Female,Age (5-year bands): 15-19,nan,850.952,"(15, 19)"
1983,Sex: Female,Age (5-year bands): 20-24,nan,699.444,"(20, 24)"
1983,Sex: Female,Age (5-year bands): 25-29,nan,1085.646,"(25, 29)"
1982,Sex: Male,"Age (Youth, adults): 15+",nan,4266.063,"(15, None)"
1982,Sex: Male,"Age (Youth, adults): 15-24",nan,1550.715,"(15, 24)"
